"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.85620638993742,2.28413643904166,1.55271154145104
"S3",3.07261222122644,3.65758252158495,2.71467149111785
"S4",4.03880509565774,4.78697603374847,3.59297073858563
"S5",5.55039202534503,6.46672334014588,5.00559481651828
"S6",6.42895141207673,7.47785103569222,5.80960462614537
"S7",7.09714203487095,8.26756859012542,6.418636637755
"S8",7.83037372264509,9.08562444590895,7.06872685565437
"S9",8.59899940315649,9.97436985769164,7.78249771742843
"S10",9.39374697774641,10.9132671504354,8.48360334044665
