"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.01713523327622,4.3457344010712,2.46636561893716
"S3",4.37610017658513,6.00498444204537,3.73855755870657
"S4",7.86636779388379,10.5601394298698,6.83366138089366
"S5",8.30638423303605,11.2793895081384,7.21422142891203
"S6",8.86704352453912,11.8727008266675,7.65305716540352
"S7",9.07747340684752,12.1953992982657,7.86673196233227
"S8",9.56617351037992,12.8401575541791,8.32986668117993
"S9",9.87199266780384,13.2396274756129,8.62839614452166
"S10",10.2858647471733,13.8371488387372,8.92405710719736
