"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.45822853309806,3.11282995303997,2.04460633906229
"S3",3.74125125567111,4.58977456436394,3.2357533999077
"S4",5.67795879985831,6.90954615641304,4.98229115963959
"S5",7.208071151773,8.72563020154909,6.37269389173283
"S6",7.86119584245396,9.43569505362427,6.94202711633254
"S7",8.38672306020389,10.0711678694808,7.42201999896742
"S8",8.65484319068845,10.3667862355582,7.66404310779146
"S9",8.97384958407236,10.7581308773256,7.92602791902871
"S10",9.0129022351247,10.9045900171745,7.93692343244917
