"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.16476569618962,1.76790854947146,0.674014465594258
"S3",2.42080943282695,3.25550895949559,1.78879023983798
"S4",5.45592588794056,6.87612473233497,4.60401292293179
"S5",6.49518538377729,8.1205274507603,5.5241107672818
"S6",6.8771834685295,8.60850839258507,5.87305124692325
"S7",7.25485589107391,9.05058373721898,6.17720334422561
"S8",7.66760993521375,9.49362275230904,6.57908022682069
"S9",8.15050854226757,10.0984103787515,7.01766223958649
"S10",8.50103859214919,10.5617298583653,7.2781468994544
