"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.35149930006483,2.97897595248208,1.99457148394898
"S3",3.35507092226304,4.24108545795176,2.89935554104954
"S4",4.50892427034569,5.59225398336747,3.91674503931738
"S5",5.75628273581139,7.1277697515279,5.01952386654523
"S6",8.74949520223268,10.8360130245946,7.74675714104587
"S7",9.46757371738067,11.6703893092538,8.37021453928357
"S8",9.67791332998689,12.0142960825307,8.52621553291946
"S9",9.88432863293911,12.2182931717106,8.68144123535611
"S10",10.2368858273882,12.649668367853,8.95890650662802
