"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.51628854484727,1.84661121355541,1.23648462284988
"S3",2.6081653461224,3.07813689277353,2.26761659776233
"S4",3.39236706159318,3.91788638126971,2.99699224254947
"S5",4.76380404053875,5.45988035133066,4.27490180627831
"S6",5.63763833768603,6.40784183914441,5.08753570198547
"S7",6.13303945853751,7.02173743606041,5.54138611903081
"S8",6.62210891077386,7.55421549792333,5.9745083043132
"S9",7.31587709426179,8.33855062899781,6.61224443344328
"S10",8.14761738108814,9.33982990683575,7.32964957064173
