"","pscale","high_boot","low_boot"
"",0,0,0
"S2",0.136636380096093,0.859093443709442,-0.292351491096048
"S3",0.273272760192187,0.874769330797642,0.257044484107982
"S4",10.2398221368922,9.30022675181078,7.60911143281516
"S5",11.2906343188569,10.6390084486648,8.44269677285111
"S6",11.6037710729587,11.0162731101026,8.68274047813045
"S7",11.8671784054325,11.4054858051255,8.89239263270339
"S8",12.132252119071,11.7410902291774,9.10276247157251
"S9",12.5340954957464,12.2764031567329,9.41835812079224
"S10",12.7773775078185,12.6021544307585,9.52681631273578
