"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.38706556574158,3.98280737414244,2.99432752277223
"S3",4.74664457156424,5.53281934379458,4.26354962868885
"S4",5.67971745986829,6.61038561768192,5.07970095996812
"S5",6.48704981346909,7.4997688085374,5.84144973292165
"S6",7.16602935839407,8.28446984289954,6.46757142925952
"S7",7.65475139790156,8.84417683979672,6.91280069257231
"S8",8.31414349688043,9.60018254157333,7.52518561875659
"S9",8.73798131655231,10.0614561907041,7.89899391854549
"S10",9.35498216658738,10.7844852076857,8.44865572294848
