"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.78604879702992,2.26237089132053,1.46945473536171
"S3",4.29124646163166,5.09770247433448,3.82971422763771
"S4",4.37980886891546,5.20088916466387,3.89254265606361
"S5",4.60655967584674,5.46938054312128,4.09106174270624
"S6",4.65449535614608,5.58017048231074,4.11276951126473
"S7",4.87263784881731,5.79745241174503,4.3050963682425
"S8",5.19263153797027,6.21280729435475,4.56989189178952
"S9",6.68254226999123,7.89266994243022,5.95219674244024
"S10",8.7763367961437,10.3995726480672,7.81999442346265
