"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.44033630482834,3.0675637310731,2.01230567996368
"S3",4.01437373488146,4.87088321221421,3.46761283821388
"S4",5.94023936854446,7.09273257098814,5.21419175588002
"S5",7.45835475528042,8.9116258662835,6.56951960502052
"S6",8.18520352034176,9.71970407946066,7.23221138807043
"S7",8.68101567165965,10.3158158007234,7.67892120131504
"S8",9.10927760929542,10.7791884619681,8.08633241828208
"S9",9.33324399182567,11.1005943887565,8.26236852601856
"S10",9.49883129201469,11.2929315390961,8.35161731543172
