"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.45049612629949,4.55307266096804,2.82948704253811
"S3",4.69728057431798,5.96580186575065,3.98775940263471
"S4",8.34299558168837,10.6777468765647,7.25332491977782
"S5",9.04164540058056,11.5162189090519,7.8314140892365
"S6",9.53731554602928,12.0825333358591,8.26841023845468
"S7",9.9085136576754,12.5613218169369,8.59403119745688
"S8",10.4207245955993,13.161219165906,9.10111286579832
"S9",10.6870717599602,13.4336174766712,9.31696750360871
"S10",11.2503670687244,14.1647787636533,9.78412444252586
