"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.59948212711258,2.19670081371024,1.17213166560104
"S3",3.14790051751634,4.13050352189827,2.58007493097723
"S4",4.18121501232274,5.42034759437761,3.4658026341233
"S5",7.40677825549323,9.39302328996847,6.3692824520189
"S6",8.81627614555877,11.1693845951152,7.63018767734283
"S7",9.18364171813264,11.6804707969104,7.9453675089515
"S8",9.70480604004503,12.2827132706653,8.41680403072069
"S9",9.99522525874577,12.6750235253141,8.61182387152254
"S10",10.5733405753855,13.4532845119719,9.10816223507561
