"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.73927622402716,3.23050495947055,2.42290200728585
"S3",3.93400670536627,4.60114507629904,3.52158345154643
"S4",4.61596769454418,5.38411378668182,4.15312860051101
"S5",5.37831003111038,6.29568615970145,4.81312327611333
"S6",6.96767475358387,8.08458335418606,6.3080827439535
"S7",7.86826725248279,9.08692526439614,7.12427112546835
"S8",8.19742682706875,9.50101840503832,7.40639650284685
"S9",8.52353374594016,9.92504428216212,7.6988312977697
"S10",9.2136918997062,10.7422347664717,8.30194475537069
