trial	context	image.fname	r	start_idx	match_lum
143	light	stimuli/sub7/matching/143_light_1.29	1.290000	0.103354	0.303354
144	dark	stimuli/sub7/matching/144_dark_0.19	0.190000	0.438535	0.058535
145	plain	stimuli/sub7/matching/145_plain_0.63	0.630000	0.431681	0.291681
146	plain	stimuli/sub7/matching/146_plain_0.63	0.630000	0.664861	0.164861
147	plain	stimuli/sub7/matching/147_plain_1.50	1.500000	0.100551	0.400551
148	plain	stimuli/sub7/matching/148_plain_1.05	1.050000	0.973051	0.460000
149	light	stimuli/sub7/matching/149_light_1.29	1.290000	0.578448	0.438448
150	dark	stimuli/sub7/matching/150_dark_0.46	0.460000	0.959817	0.159817
151	dark	stimuli/sub7/matching/151_dark_0.46	0.460000	0.940120	0.180120
152	dark	stimuli/sub7/matching/152_dark_1.29	1.290000	0.178881	0.278881
153	light	stimuli/sub7/matching/153_light_0.63	0.630000	0.162992	0.222992
154	dark	stimuli/sub7/matching/154_dark_0.19	0.190000	0.998624	0.050624
155	plain	stimuli/sub7/matching/155_plain_1.50	1.500000	0.255081	0.595081
156	plain	stimuli/sub7/matching/156_plain_1.29	1.290000	0.984103	0.404103
157	light	stimuli/sub7/matching/157_light_1.67	1.670000	0.555703	0.515703
158	plain	stimuli/sub7/matching/158_plain_1.67	1.670000	0.262708	0.742708
159	plain	stimuli/sub7/matching/159_plain_0.46	0.460000	0.873696	0.167696
160	light	stimuli/sub7/matching/160_light_1.29	1.290000	0.324385	0.332385
161	dark	stimuli/sub7/matching/161_dark_1.05	1.050000	0.437331	0.297331
162	dark	stimuli/sub7/matching/162_dark_0.63	0.630000	0.140825	0.138825
163	light	stimuli/sub7/matching/163_light_0.46	0.460000	0.335031	0.135031
164	light	stimuli/sub7/matching/164_light_0.31	0.310000	0.964715	0.124715
165	light	stimuli/sub7/matching/165_light_1.50	1.500000	0.875435	0.455435
166	light	stimuli/sub7/matching/166_light_1.67	1.670000	0.693843	0.473843
167	light	stimuli/sub7/matching/167_light_0.46	0.460000	0.306226	0.146226
168	plain	stimuli/sub7/matching/168_plain_1.29	1.290000	0.103430	0.423430
169	light	stimuli/sub7/matching/169_light_1.50	1.500000	0.346105	0.346105
170	plain	stimuli/sub7/matching/170_plain_0.19	0.190000	0.317423	0.055423
171	plain	stimuli/sub7/matching/171_plain_0.19	0.190000	0.863132	0.063132
172	dark	stimuli/sub7/matching/172_dark_1.05	1.050000	0.631540	0.271540
173	dark	stimuli/sub7/matching/173_dark_1.29	1.290000	0.646242	0.446242
174	plain	stimuli/sub7/matching/174_plain_1.05	1.050000	0.640075	0.460075
175	dark	stimuli/sub7/matching/175_dark_1.29	1.290000	0.615804	0.355804
176	light	stimuli/sub7/matching/176_light_1.50	1.500000	0.023146	0.463146
177	plain	stimuli/sub7/matching/177_plain_1.05	1.050000	0.410501	0.404501
178	dark	stimuli/sub7/matching/178_dark_1.50	1.500000	0.078550	0.344550
179	light	stimuli/sub7/matching/179_light_0.31	0.310000	0.725775	0.057775
180	light	stimuli/sub7/matching/180_light_0.82	0.820000	0.987344	0.163344
181	plain	stimuli/sub7/matching/181_plain_1.67	1.670000	0.154104	0.594104
182	light	stimuli/sub7/matching/182_light_1.05	1.050000	0.061136	0.341136
