trial	context	image.fname	r	start_idx	match_lum
0	plain	stimuli/sub6/matching/0_plain_1.67	1.670000	0.705127	0.659127
1	plain	stimuli/sub6/matching/1_plain_0.31	0.310000	0.187387	0.131387
2	dark	stimuli/sub6/matching/2_dark_0.46	0.460000	0.210357	0.096357
3	light	stimuli/sub6/matching/3_light_0.63	0.630000	0.215742	0.201742
4	light	stimuli/sub6/matching/4_light_0.31	0.310000	0.362893	0.138893
5	plain	stimuli/sub6/matching/5_plain_0.63	0.630000	0.546728	0.280728
6	light	stimuli/sub6/matching/6_light_1.05	1.050000	0.697454	0.281454
7	light	stimuli/sub6/matching/7_light_1.29	1.290000	0.599983	0.361983
8	dark	stimuli/sub6/matching/8_dark_0.63	0.630000	0.207035	0.227035
9	light	stimuli/sub6/matching/9_light_1.05	1.050000	0.528157	0.334157
10	plain	stimuli/sub6/matching/10_plain_1.67	1.670000	0.589804	0.603804
11	light	stimuli/sub6/matching/11_light_1.50	1.500000	0.489042	0.473042
12	light	stimuli/sub6/matching/12_light_1.29	1.290000	0.075465	0.363465
13	dark	stimuli/sub6/matching/13_dark_0.19	0.190000	0.585283	0.083283
14	plain	stimuli/sub6/matching/14_plain_0.19	0.190000	0.892786	0.072786
15	light	stimuli/sub6/matching/15_light_1.05	1.050000	0.638016	0.284016
16	dark	stimuli/sub6/matching/16_dark_1.50	1.500000	0.319903	0.285903
17	dark	stimuli/sub6/matching/17_dark_1.50	1.500000	0.015860	0.313860
18	light	stimuli/sub6/matching/18_light_1.50	1.500000	0.617054	0.469054
19	dark	stimuli/sub6/matching/19_dark_1.67	1.670000	0.524419	0.456419
20	dark	stimuli/sub6/matching/20_dark_0.31	0.310000	0.794333	0.136333
21	dark	stimuli/sub6/matching/21_dark_0.82	0.820000	0.418736	0.264736
22	dark	stimuli/sub6/matching/22_dark_1.50	1.500000	0.183798	0.285798
23	plain	stimuli/sub6/matching/23_plain_1.50	1.500000	0.457296	0.559296
24	dark	stimuli/sub6/matching/24_dark_0.31	0.310000	0.383418	0.189418
25	plain	stimuli/sub6/matching/25_plain_0.11	0.110000	0.987156	0.039156
26	dark	stimuli/sub6/matching/26_dark_0.11	0.110000	0.402739	0.052739
27	plain	stimuli/sub6/matching/27_plain_0.46	0.460000	0.444737	0.204737
28	light	stimuli/sub6/matching/28_light_0.11	0.110000	0.568241	0.114241
29	light	stimuli/sub6/matching/29_light_0.31	0.310000	0.450185	0.160185
30	dark	stimuli/sub6/matching/30_dark_1.29	1.290000	0.045104	0.271104
31	light	stimuli/sub6/matching/31_light_0.31	0.310000	0.656015	0.122015
32	plain	stimuli/sub6/matching/32_plain_0.46	0.460000	0.428410	0.174410
33	light	stimuli/sub6/matching/33_light_0.11	0.110000	0.665347	0.069347
34	light	stimuli/sub6/matching/34_light_1.05	1.050000	0.876710	0.396710
35	light	stimuli/sub6/matching/35_light_0.11	0.110000	0.097583	0.067583
36	dark	stimuli/sub6/matching/36_dark_1.67	1.670000	0.401209	0.381209
37	plain	stimuli/sub6/matching/37_plain_0.19	0.190000	0.044864	0.084864
38	dark	stimuli/sub6/matching/38_dark_0.11	0.110000	0.776367	0.078367
39	plain	stimuli/sub6/matching/39_plain_0.31	0.310000	0.154098	0.178098
40	plain	stimuli/sub6/matching/40_plain_0.19	0.190000	0.612819	0.078819
41	plain	stimuli/sub6/matching/41_plain_0.11	0.110000	0.834337	0.046337
42	dark	stimuli/sub6/matching/42_dark_0.19	0.190000	0.398082	0.060082
43	light	stimuli/sub6/matching/43_light_0.46	0.460000	0.391781	0.271781
44	plain	stimuli/sub6/matching/44_plain_1.29	1.290000	0.411652	0.441652
45	dark	stimuli/sub6/matching/45_dark_0.19	0.190000	0.005218	0.066000
46	light	stimuli/sub6/matching/46_light_0.82	0.820000	0.531255	0.331255
47	light	stimuli/sub6/matching/47_light_0.46	0.460000	0.063988	0.143988
48	plain	stimuli/sub6/matching/48_plain_0.11	0.110000	0.866783	0.048783
49	light	stimuli/sub6/matching/49_light_1.50	1.500000	0.856697	0.576697
50	dark	stimuli/sub6/matching/50_dark_0.82	0.820000	0.381052	0.281052
51	dark	stimuli/sub6/matching/51_dark_0.82	0.820000	0.282165	0.290165
52	light	stimuli/sub6/matching/52_light_1.05	1.050000	0.873120	0.395120
53	light	stimuli/sub6/matching/53_light_1.05	1.050000	0.940013	0.462013
54	plain	stimuli/sub6/matching/54_plain_1.05	1.050000	0.211626	0.297626
55	plain	stimuli/sub6/matching/55_plain_0.82	0.820000	0.489828	0.489828
56	dark	stimuli/sub6/matching/56_dark_0.11	0.110000	0.869414	0.045414
57	plain	stimuli/sub6/matching/57_plain_1.50	1.500000	0.555790	0.535790
58	light	stimuli/sub6/matching/58_light_0.31	0.310000	0.892523	0.080523
59	plain	stimuli/sub6/matching/59_plain_1.67	1.670000	0.286811	0.432811
60	dark	stimuli/sub6/matching/60_dark_0.31	0.310000	0.416629	0.162629
61	light	stimuli/sub6/matching/61_light_0.19	0.190000	0.012007	0.158007
62	dark	stimuli/sub6/matching/62_dark_0.31	0.310000	0.471263	0.137263
63	plain	stimuli/sub6/matching/63_plain_0.19	0.190000	0.172800	0.098800
64	plain	stimuli/sub6/matching/64_plain_1.50	1.500000	0.469211	0.509211
65	plain	stimuli/sub6/matching/65_plain_1.05	1.050000	0.881280	0.485280
66	dark	stimuli/sub6/matching/66_dark_0.11	0.110000	0.445870	0.047870
67	plain	stimuli/sub6/matching/67_plain_0.46	0.460000	0.971316	0.243316
68	dark	stimuli/sub6/matching/68_dark_0.19	0.190000	0.306045	0.306045
69	dark	stimuli/sub6/matching/69_dark_1.50	1.500000	0.117949	0.303949
70	light	stimuli/sub6/matching/70_light_1.29	1.290000	0.762572	0.422572
71	dark	stimuli/sub6/matching/71_dark_0.63	0.630000	0.964402	0.284402
72	plain	stimuli/sub6/matching/72_plain_0.63	0.630000	0.251598	0.271598
73	plain	stimuli/sub6/matching/73_plain_0.82	0.820000	0.520509	0.426509
74	light	stimuli/sub6/matching/74_light_0.82	0.820000	0.728427	0.332427
75	plain	stimuli/sub6/matching/75_plain_0.31	0.310000	0.685038	0.167038
76	light	stimuli/sub6/matching/76_light_0.46	0.460000	0.786531	0.208531
77	dark	stimuli/sub6/matching/77_dark_1.05	1.050000	0.492269	0.494269
78	light	stimuli/sub6/matching/78_light_1.05	1.050000	0.529568	0.391568
79	dark	stimuli/sub6/matching/79_dark_0.11	0.110000	0.796582	0.048582
80	plain	stimuli/sub6/matching/80_plain_0.63	0.630000	0.665828	0.225828
81	dark	stimuli/sub6/matching/81_dark_1.50	1.500000	0.389045	0.389045
82	plain	stimuli/sub6/matching/82_plain_1.05	1.050000	0.008029	0.288029
83	plain	stimuli/sub6/matching/83_plain_0.31	0.310000	0.469715	0.153715
84	plain	stimuli/sub6/matching/84_plain_1.29	1.290000	0.797127	0.441127
85	plain	stimuli/sub6/matching/85_plain_1.67	1.670000	0.206953	0.380953
86	light	stimuli/sub6/matching/86_light_0.82	0.820000	0.371219	0.287219
87	light	stimuli/sub6/matching/87_light_0.46	0.460000	0.196911	0.212911
88	plain	stimuli/sub6/matching/88_plain_1.67	1.670000	0.647713	0.537713
89	dark	stimuli/sub6/matching/89_dark_1.50	1.500000	0.590683	0.476683
90	dark	stimuli/sub6/matching/90_dark_1.29	1.290000	0.115727	0.395727
91	dark	stimuli/sub6/matching/91_dark_1.05	1.050000	0.032147	0.374147
92	plain	stimuli/sub6/matching/92_plain_0.19	0.190000	0.558268	0.092268
93	plain	stimuli/sub6/matching/93_plain_0.63	0.630000	0.015331	0.271331
94	plain	stimuli/sub6/matching/94_plain_0.82	0.820000	0.823924	0.385924
95	light	stimuli/sub6/matching/95_light_1.29	1.290000	0.317372	0.351372
96	dark	stimuli/sub6/matching/96_dark_0.31	0.310000	0.788843	0.232843
97	dark	stimuli/sub6/matching/97_dark_0.82	0.820000	0.258579	0.338579
98	plain	stimuli/sub6/matching/98_plain_1.67	1.670000	0.554148	0.486148
99	dark	stimuli/sub6/matching/99_dark_0.63	0.630000	0.452369	0.272369
100	light	stimuli/sub6/matching/100_light_1.67	1.670000	0.279084	0.379084
101	plain	stimuli/sub6/matching/101_plain_0.19	0.190000	0.771216	0.099216
102	light	stimuli/sub6/matching/102_light_1.50	1.500000	0.763898	0.423898
103	dark	stimuli/sub6/matching/103_dark_1.29	1.290000	0.203056	0.283056
104	plain	stimuli/sub6/matching/104_plain_0.31	0.310000	0.806975	0.188975
105	dark	stimuli/sub6/matching/105_dark_1.05	1.050000	0.811066	0.349066
106	dark	stimuli/sub6/matching/106_dark_1.05	1.050000	0.210200	0.290200
107	dark	stimuli/sub6/matching/107_dark_0.19	0.190000	0.465616	0.093616
108	dark	stimuli/sub6/matching/108_dark_0.11	0.110000	0.657143	0.065143
109	dark	stimuli/sub6/matching/109_dark_0.46	0.460000	0.195201	0.179201
110	dark	stimuli/sub6/matching/110_dark_1.05	1.050000	0.309672	0.289672
111	dark	stimuli/sub6/matching/111_dark_1.05	1.050000	0.440643	0.360643
112	plain	stimuli/sub6/matching/112_plain_0.46	0.460000	0.012730	0.178000
