trial	context	image.fname	r	start_idx	match_lum
212	dark	stimuliSR/sub5/matching/212_dark_1.50	1.500000	0.203377	0.273377
213	plain	stimuliSR/sub5/matching/213_plain_0.46	0.460000	0.128317	0.196317
214	light	stimuliSR/sub5/matching/214_light_0.11	0.110000	0.573335	0.103335
215	dark	stimuliSR/sub5/matching/215_dark_1.29	1.290000	0.013326	0.278000
216	plain	stimuliSR/sub5/matching/216_plain_0.31	0.310000	0.941325	0.093325
217	plain	stimuliSR/sub5/matching/217_plain_1.50	1.500000	0.041626	0.617626
218	light	stimuliSR/sub5/matching/218_light_0.82	0.820000	0.122640	0.242640
219	dark	stimuliSR/sub5/matching/219_dark_1.67	1.670000	0.082963	0.328963
220	plain	stimuliSR/sub5/matching/220_plain_0.31	0.310000	0.472106	0.092106
221	dark	stimuliSR/sub5/matching/221_dark_1.29	1.290000	0.336593	0.216593
222	dark	stimuliSR/sub5/matching/222_dark_0.82	0.820000	0.042780	0.132780
223	dark	stimuliSR/sub5/matching/223_dark_1.67	1.670000	0.841789	0.343789
224	plain	stimuliSR/sub5/matching/224_plain_1.67	1.670000	0.980786	0.668786
225	dark	stimuliSR/sub5/matching/225_dark_0.46	0.460000	0.825692	0.079692
226	plain	stimuliSR/sub5/matching/226_plain_1.29	1.290000	0.436525	0.536525
227	light	stimuliSR/sub5/matching/227_light_0.31	0.310000	0.446556	0.146556
228	dark	stimuliSR/sub5/matching/228_dark_1.05	1.050000	0.941827	0.241827
229	plain	stimuliSR/sub5/matching/229_plain_0.63	0.630000	0.689308	0.221308
230	light	stimuliSR/sub5/matching/230_light_1.05	1.050000	0.213973	0.301973
231	dark	stimuliSR/sub5/matching/231_dark_0.63	0.630000	0.268079	0.086079
232	dark	stimuliSR/sub5/matching/232_dark_1.29	1.290000	0.384464	0.274464
233	light	stimuliSR/sub5/matching/233_light_0.46	0.460000	0.779015	0.161015
234	dark	stimuliSR/sub5/matching/234_dark_0.63	0.630000	0.262057	0.102057
235	dark	stimuliSR/sub5/matching/235_dark_0.82	0.820000	0.557138	0.127138
236	plain	stimuliSR/sub5/matching/236_plain_1.29	1.290000	0.226347	0.606347
237	dark	stimuliSR/sub5/matching/237_dark_1.67	1.670000	0.538282	0.356282
238	light	stimuliSR/sub5/matching/238_light_0.63	0.630000	0.920941	0.210941
239	light	stimuliSR/sub5/matching/239_light_1.05	1.050000	0.791349	0.337349
240	light	stimuliSR/sub5/matching/240_light_0.63	0.630000	0.828043	0.174043
