trial	context	image.fname	r	start_idx	match_lum
0	plain	stimuliSR/sub3/matching/0_plain_0.19	0.190000	0.699533	0.055533
1	light	stimuliSR/sub3/matching/1_light_0.63	0.630000	0.725483	0.239483
2	plain	stimuliSR/sub3/matching/2_plain_0.46	0.460000	0.262086	0.146086
3	plain	stimuliSR/sub3/matching/3_plain_0.11	0.110000	0.345619	0.023619
4	plain	stimuliSR/sub3/matching/4_plain_1.05	1.050000	0.684011	0.362011
5	dark	stimuliSR/sub3/matching/5_dark_0.82	0.820000	0.909339	0.145339
6	dark	stimuliSR/sub3/matching/6_dark_1.29	1.290000	0.957030	0.278000
7	dark	stimuliSR/sub3/matching/7_dark_0.46	0.460000	0.380438	0.106438
8	plain	stimuliSR/sub3/matching/8_plain_0.19	0.190000	0.227796	0.055796
9	light	stimuliSR/sub3/matching/9_light_1.29	1.290000	0.136067	0.342067
10	plain	stimuliSR/sub3/matching/10_plain_0.82	0.820000	0.340966	0.280966
11	plain	stimuliSR/sub3/matching/11_plain_0.46	0.460000	0.709557	0.129557
12	dark	stimuliSR/sub3/matching/12_dark_1.05	1.050000	0.121375	0.221375
13	dark	stimuliSR/sub3/matching/13_dark_0.31	0.310000	0.441728	0.071728
14	dark	stimuliSR/sub3/matching/14_dark_0.82	0.820000	0.908165	0.146165
15	dark	stimuliSR/sub3/matching/15_dark_1.67	1.670000	0.239277	0.323277
16	plain	stimuliSR/sub3/matching/16_plain_0.63	0.630000	0.302098	0.218098
17	light	stimuliSR/sub3/matching/17_light_0.46	0.460000	0.790669	0.200669
18	light	stimuliSR/sub3/matching/18_light_0.46	0.460000	0.605288	0.189288
19	plain	stimuliSR/sub3/matching/19_plain_0.82	0.820000	0.615894	0.263894
20	light	stimuliSR/sub3/matching/20_light_1.67	1.670000	0.026225	0.394225
21	plain	stimuliSR/sub3/matching/21_plain_0.46	0.460000	0.502101	0.156101
22	plain	stimuliSR/sub3/matching/22_plain_1.05	1.050000	0.883965	0.401965
23	plain	stimuliSR/sub3/matching/23_plain_1.67	1.670000	0.749828	0.595828
24	plain	stimuliSR/sub3/matching/24_plain_1.29	1.290000	0.520774	0.444774
25	light	stimuliSR/sub3/matching/25_light_1.05	1.050000	0.710153	0.328153
26	plain	stimuliSR/sub3/matching/26_plain_1.50	1.500000	0.431205	0.581205
27	light	stimuliSR/sub3/matching/27_light_1.67	1.670000	0.804042	0.412042
28	plain	stimuliSR/sub3/matching/28_plain_1.05	1.050000	0.086580	0.442580
29	light	stimuliSR/sub3/matching/29_light_0.19	0.190000	0.516763	0.144763
30	dark	stimuliSR/sub3/matching/30_dark_0.82	0.820000	0.716312	0.154000
31	dark	stimuliSR/sub3/matching/31_dark_1.05	1.050000	0.235897	0.241897
32	light	stimuliSR/sub3/matching/32_light_1.05	1.050000	0.176720	0.348720
33	light	stimuliSR/sub3/matching/33_light_0.63	0.630000	0.966795	0.226795
34	plain	stimuliSR/sub3/matching/34_plain_0.31	0.310000	0.307346	0.097346
35	dark	stimuliSR/sub3/matching/35_dark_0.63	0.630000	0.593455	0.133455
36	plain	stimuliSR/sub3/matching/36_plain_0.82	0.820000	0.066817	0.256817
37	plain	stimuliSR/sub3/matching/37_plain_1.50	1.500000	0.101072	0.541072
38	plain	stimuliSR/sub3/matching/38_plain_1.29	1.290000	0.180201	0.476201
39	dark	stimuliSR/sub3/matching/39_dark_0.31	0.310000	0.539897	0.073897
40	plain	stimuliSR/sub3/matching/40_plain_0.63	0.630000	0.598602	0.214602
41	dark	stimuliSR/sub3/matching/41_dark_0.11	0.110000	0.475883	0.045883
42	light	stimuliSR/sub3/matching/42_light_0.11	0.110000	0.729733	0.155733
43	dark	stimuliSR/sub3/matching/43_dark_0.31	0.310000	0.271709	0.085709
44	light	stimuliSR/sub3/matching/44_light_1.67	1.670000	0.154163	0.364163
45	dark	stimuliSR/sub3/matching/45_dark_1.29	1.290000	0.583501	0.255501
46	dark	stimuliSR/sub3/matching/46_dark_1.05	1.050000	0.951232	0.257232
47	dark	stimuliSR/sub3/matching/47_dark_0.46	0.460000	0.335121	0.111121
48	light	stimuliSR/sub3/matching/48_light_0.46	0.460000	0.781770	0.187770
49	dark	stimuliSR/sub3/matching/49_dark_0.11	0.110000	0.219140	0.043140
50	light	stimuliSR/sub3/matching/50_light_1.67	1.670000	0.035010	0.394000
51	plain	stimuliSR/sub3/matching/51_plain_1.67	1.670000	0.412485	0.608485
52	plain	stimuliSR/sub3/matching/52_plain_0.46	0.460000	0.398532	0.154532
53	plain	stimuliSR/sub3/matching/53_plain_1.29	1.290000	0.839196	0.475196
54	dark	stimuliSR/sub3/matching/54_dark_0.31	0.310000	0.169831	0.079831
55	plain	stimuliSR/sub3/matching/55_plain_1.29	1.290000	0.010179	0.512000
