tar_lum,mat_lum,target_bg,match_bg,spacing
0.0,0.6513065130651307,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.0504105041050409,gray,gray,even
0.0,0.056550565505655064,gray,gray,even
0.0,2.130071300713007,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.4329043290432905,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.2054020540205402,gray,gray,even
0.0,0.3185031850318503,gray,gray,even
0.0,0.0,gray,gray,even
0.0,2.5707757077570776,gray,gray,even
0.0,0.23790237902379024,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.0712107121071208,gray,gray,even
0.0,0.0,gray,gray,even
0.0,2.7800778007780083,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.2047520475204752,gray,gray,even
0.0,0.0,gray,gray,even
0.0,3.0452804528045285,gray,gray,even
0.0,0.8619086190861909,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.3913039130391304,gray,gray,even
0.0,0.0,gray,gray,even
0.0,2.582475824758248,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.3620536205362054,gray,gray,even
0.0,1.3520135201352013,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,2.9666296662966634,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.4225042250422504,gray,gray,even
0.0,2.126821268212682,gray,gray,even
0.0,1.5580655806558066,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.204462044620446,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.012350123501235013,gray,gray,even
0.0,0.21645216452164526,gray,gray,even
0.0,0.23075230752307524,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.933119331193312,gray,gray,even
0.0,0.0,gray,gray,even
0.0,2.3829238292382926,gray,gray,even
0.0,2.0462204622046216,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.6409064090640907,gray,gray,even
0.0,0.1007510075100751,gray,gray,even
0.0,1.0972109721097212,gray,gray,even
0.0,2.2106721067210677,gray,gray,even
0.0,0.5375553755537555,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.3838638386383864,gray,gray,even
0.0,2.3868238682386824,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.594465944659447,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.4751547515475154,gray,gray,even
0.0,0.011050110501105012,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.7875178751787515,gray,gray,even
0.0,0.14560145601456015,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.5213052130521305,gray,gray,even
0.0,0.0,gray,gray,even
0.0,1.1160611606116062,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.4075540755407554,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,2.785277852778528,gray,gray,even
0.0,0.0,gray,gray,even
