tar_lum,mat_lum,bg_tar,bg_mat
0.0,0.6513065130651307,gray,gray
0.0,0.0,gray,gray
0.0,1.050410504105041,gray,gray
0.0,0.05655056550565506,gray,gray
0.0,2.130071300713007,gray,gray
0.0,0.0,gray,gray
0.0,0.43290432904329046,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.2054020540205402,gray,gray
0.0,0.3185031850318503,gray,gray
0.0,0.0,gray,gray
0.0,2.5707757077570776,gray,gray
0.0,0.23790237902379024,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,1.071210712107121,gray,gray
0.0,0.0,gray,gray
0.0,2.780077800778008,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.2047520475204752,gray,gray
0.0,0.0,gray,gray
0.0,3.045280452804528,gray,gray
0.0,0.8619086190861909,gray,gray
0.0,0.0,gray,gray
0.0,0.39130391303913037,gray,gray
0.0,0.0,gray,gray
0.0,2.5824758247582476,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.3620536205362054,gray,gray
0.0,1.3520135201352013,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,2.966629666296663,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.42250422504225044,gray,gray
0.0,2.126821268212682,gray,gray
0.0,1.5580655806558066,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,1.2044620446204461,gray,gray
0.0,0.0,gray,gray
0.0,0.012350123501235013,gray,gray
0.0,0.21645216452164523,gray,gray
0.0,0.23075230752307524,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,1.933119331193312,gray,gray
0.0,0.0,gray,gray
0.0,2.3829238292382926,gray,gray
0.0,2.046220462204622,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.6409064090640907,gray,gray
0.0,0.1007510075100751,gray,gray
0.0,1.0972109721097212,gray,gray
0.0,2.2106721067210673,gray,gray
0.0,0.5375553755537555,gray,gray
0.0,0.0,gray,gray
